pl_hostname,pl_orbeccen,st_mass,pl_bmassj,pl_orbsmax,st_spstr,st_dist,pl_pnum,pl_radj,pl_orbper
HD 37124,0.125,0.85,0.652,1.71,G4 V,31.69,3,0.0,885.5
HD 37124,0.16,0.85,0.696,2.807,G4 V,31.69,3,0.0,1862.0
HD 37605,0.6745,0.94,2.69,0.277,K0,46.85,2,0.0,55.01292
HD 185269,0.229,1.3,1.01,0.077,G0 IV,52.07,1,0.0,6.83776
HD 187085,0.251,1.19,0.836,2.1,G0 V,45.96,1,0.0,1019.74
HD 187123,0.0103,1.0,0.523,0.0426,G3 V,46.02,2,0.0,3.0965828
HD 187123,0.252,1.0,1.99,4.89,G3 V,46.02,2,0.0,3810.0
HD 188015,0.137,1.09,1.5,1.203,G5 IV,50.74,1,0.0,461.2
HD 189733,0.0,0.79,1.13,0.0,K2 V,19.78,1,1.13,2.21857567
HD 190360,0.31,0.99,1.54,3.97,G6 IV,16.01,2,0.0,2915.03687
HD 190360,0.237,0.99,0.06,0.1304,G6 IV,16.01,2,0.0,17.111
HD 190647,0.224,1.07,1.985,2.231,G5 V,54.56,1,0.0,1176.45
HD 190984,0.57,0.91,3.1,5.5,F8 V,148.81,1,0.0,4885.0
HD 192263,0.05,0.66,0.56,0.15,K2 V,19.65,1,0.0,24.3556
HD 192310,0.13,0.8,0.0532,0.32,K3 V,8.8,2,0.0,74.72
HD 192310,0.32,0.8,0.076,1.18,K3 V,8.8,2,0.0,525.8
HD 192699,0.082,1.38,2.096,1.063,G8 IV,72.01,1,0.0,340.94
HD 195019,0.01,1.21,3.98,0.14,G3 V/IV,37.71,1,0.0,18.20132
HD 196050,0.23,1.31,3.18,2.51,G4 V,50.75,1,0.0,1378.0
HD 196067,0.66,1.29,6.9,5.02,G1 V,39.98,1,0.0,3638.0
HD 196885 A,0.48,1.28,2.58,2.37,F8 V,34.2,1,0.0,1333.0
Kepler-106,0.0,1.0,0.02549,0.0,0,449.98,4,0.085,23.9802
Kepler-106,0.0,1.0,0.035,0.0,0,449.98,4,0.228,43.8445
Kepler-107,0.0,1.24,0.01104,0.04544,0,525.5,4,0.137,3.1800218
Kepler-107,0.0,1.24,0.02954,0.06064,0,525.5,4,0.142,4.901452
Kepler-107,0.0,1.24,0.01196,0.08377,0,525.5,4,0.077,7.95839
Kepler-107,0.0,1.24,0.02706,0.12639,0,525.5,4,0.259,14.749143
Kepler-108,0.0,0.0,0.0,0.292,0,729.0,2,0.772,49.183921
Kepler-108,0.0,0.0,0.0,0.721,0,729.0,2,0.73,190.323494
Kepler-109,0.0,1.04,0.02297,0.0,0,481.4,2,0.211,6.48163
Kepler-109,0.0,1.04,0.06859,0.0,0,481.4,2,0.225,21.2227
Kepler-110,0.0,0.0,0.0,0.107,0,596.52,2,0.163,12.691112
Kepler-140,0.0,0.0,0.0,0.414,0,593.8,2,0.161,91.353282
Kepler-141,0.0,0.0,0.0,0.039,0,303.83,2,0.062,3.107675
Kepler-141,0.0,0.0,0.0,0.067,0,303.83,2,0.126,7.010606
Kepler-142,0.0,0.0,0.0,0.032,0,557.51,3,0.178,2.024152
Kepler-142,0.0,0.0,0.0,0.057,0,557.51,3,0.255,4.761702
