pl_hostname,pl_orbeccen,st_mass,pl_bmassj,pl_orbsmax,st_spstr,st_dist,pl_pnum,st_rad,pl_radj,pl_orbper,st_vsini,pl_tranflag,pl_rvflag,ra,dec,pl_cbflag
HD 220074,0.14,2.2,16.64,1.6,M2 III,327.41,1,54.92,0.0,672.09998,3.0,0,1,350.059906,61.970127,0
HD 220689,0.054,1.02,1.118,3.396,G3 V,46.94,1,1.07,0.0,2266.4,2.3,0,1,351.470795,-20.61603,0
HD 220773,0.51,1.16,1.45,4.94,F9,49.0,1,0.0,0.0,3724.7,3.0,0,1,351.614349,8.643845,0
HD 221287,0.08,1.25,3.09,1.25,F7 V,56.01,1,0.0,0.0,456.1,9.0,0,1,352.834747,-58.209732,0
HD 222155,0.16,1.21,2.12,5.14,G2 V,50.68,1,1.85,0.0,3999.0,3.2,0,1,354.501282,48.996521,0
HD 222582,0.73,1.12,8.37,1.34,G5 V,42.21,1,1.13,0.0,572.38,2.3,0,1,355.464722,-5.985757,0
HD 224693,0.104,1.31,0.7,0.191,G2 V,93.75,1,1.93,0.0,26.6904,3.5,0,1,359.974304,-22.428114,0
HD 231701,0.13,1.21,1.13,0.567,F8 V,109.22,1,1.53,0.0,141.63,4.0,0,1,293.017334,16.474291,0
HD 233604,0.05,1.5,6.575,0.747,K5,868.63,1,10.9,0.0,192.0,2.0,0,1,137.45338,53.56823,0
HD 240210,0.15,0.82,5.21,1.16,K3 III,142.86,1,0.0,0.0,501.75,1.0,0,1,347.621792,57.029456,0
HD 240237,0.4,8.76,15.89,1.92,K2 III,958.16,1,71.23,0.0,745.70001,0.0,0,1,348.925934,58.04324,0
HD 290327,0.08,0.84,2.43,3.43,G8 V,56.52,1,0.95,0.0,2443.0,1.44,0,1,80.839851,-2.277619,0
HD 285968,0.0,0.45,0.026,0.066,M2 V,9.47,1,0.45,0.0,8.7836,0.8,0,1,70.732407,18.958172,0
HD 285507,0.09,0.82,0.98,0.06,K4.5 V,45.09,1,0.69,0.0,6.0881,3.2,0,1,61.755104,15.335032,0
HD 330075,0.0,0.47,0.48,0.04,K1,45.36,1,0.84,0.0,3.38773,0.7,0,1,237.407043,-49.963524,0
HIP 5158,0.52,0.78,1.42,0.89,0,51.68,2,0.0,0.0,345.72,0.0,0,1,16.508533,-22.453154,0
HIP 5158,0.14,0.78,15.04,7.7,0,51.68,2,0.0,0.0,9017.76,0.0,0,1,16.508533,-22.453154,0
HIP 12961,0.17,0.69,0.36,0.25,M0,23.39,1,0.65,0.0,57.435,0.0,0,1,41.678692,-23.086611,0
HIP 14810,0.14399,1.01,3.9,0.0696,G5,50.55,3,1.07,0.0,6.673892,0.54,0,1,47.809292,21.097359,0
HIP 14810,0.1566,1.01,1.31,0.549,G5,50.55,3,1.07,0.0,147.747,0.54,0,1,47.809292,21.097359,0
HIP 14810,0.185,1.01,0.59,1.94,G5,50.55,3,1.07,0.0,981.8,0.54,0,1,47.809292,21.097359,0
GJ 1148,0.38,0.35,0.30425,0.166,M4,11.02,2,0.4,0.0,41.38,0.0,0,1,175.435974,42.751972,0
HIP 57274,0.19,0.29,0.02,0.07,K4 V,25.88,3,0.78,0.0,8.1352,0.0,0,1,176.170685,30.959293,0
HIP 57274,0.05,0.29,0.40902,0.178,K4 V,25.88,3,0.78,0.0,32.03,0.0,0,1,176.170685,30.959293,0
HIP 57274,0.27,0.29,0.5267,1.01,K4 V,25.88,3,0.78,0.0,431.7,0.0,0,1,176.170685,30.959293,0
Ross 458,0.0,0.49,6.0,1100.0,M0.5,11.51,1,0.63,1.25,0.0,0.0,0,0,195.194092,12.375724,1
HIP 63242,0.23,1.54,9.18,0.565,G8,157.16,1,0.0,0.0,124.6,3.7,0,1,194.383163,-65.646461,0
HIP 67851,0.05,1.63,1.38,0.46,K0 III,65.96,2,5.92,0.0,88.9,1.8,0,1,208.466919,-35.314362,0
HIP 67851,0.17,1.63,5.98,3.82,K0 III,65.96,2,5.92,0.0,2131.8,1.8,0,1,208.466919,-35.314362,0
HIP 70849,0.715,0.63,9.0,20.25,K7 V,24.07,1,0.0,0.0,17337.5,1.93,0,1,217.327347,-46.463818,0
HD 183263,0.239,1.31,3.57,4.35,G2 IV,54.28,2,1.23,0.0,3070.0,1.6,0,1,292.102386,8.358054,0
HD 185269,0.229,1.3,1.01,0.077,G0 IV,52.07,1,2.0,0.0,6.83776,6.1,0,1,294.29892,28.499865,0
HD 187085,0.251,1.19,0.836,2.1,G0 V,45.96,1,1.27,0.0,1019.74,5.1,0,1,297.391541,-37.780552,0
HD 187123,0.0103,1.0,0.523,0.0426,G3 V,46.02,2,0.0,0.0,3.0965828,2.1,0,1,296.742126,34.419525,0
HD 187123,0.252,1.0,1.99,4.89,G3 V,46.02,2,0.0,0.0,3810.0,2.1,0,1,296.742126,34.419525,0
HD 188015,0.137,1.09,1.5,1.203,G5 IV,50.74,1,0.0,0.0,461.2,0.0,0,1,298.018921,28.100376,0
HD 189733,0.0,0.79,1.13,0.0,K2 V,19.78,1,0.75,1.13,2.21857567,3.5,1,1,300.182129,22.710854,0
